,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mount Isa,-20.73,139.5,68.0,56,0,8.05,AU,1603572799
1,Norman Wells,65.28,-126.83,21.2,92,75,4.7,CA,1603572799
2,Ushuaia,-54.8,-68.3,50.0,70,75,8.05,AR,1603572717
3,Albany,42.6,-73.97,55.99,68,45,14.0,US,1603572678
4,Thompson,55.74,-97.86,24.8,53,90,9.17,CA,1603572586
5,Mar del Plata,-38.0,-57.56,60.8,93,90,8.05,AR,1603572554
6,Mildura,-34.2,142.15,45.0,87,0,8.05,AU,1603572634
7,Rikitea,-23.12,-134.97,74.64,83,84,22.82,PF,1603572800
8,Paamiut,61.99,-49.67,30.96,86,18,9.28,GL,1603572800
9,Marsassoum,12.83,-15.98,83.05,57,47,3.87,SN,1603572800
10,Kiryat Gat,31.61,34.76,78.8,74,75,3.36,IL,1603572800
11,Ilulissat,69.22,-51.1,23.0,62,51,4.7,GL,1603572550
12,Punta Arenas,-53.15,-70.92,42.8,93,90,13.87,CL,1603572502
13,Noumea,-22.28,166.46,79.0,65,0,3.36,NC,1603572801
14,Shellbrook,53.22,-106.4,23.0,79,90,9.17,CA,1603572801
15,Pemangkat,1.17,108.97,77.56,85,100,4.97,ID,1603572801
16,Port Elizabeth,-33.92,25.57,64.0,82,19,1.01,ZA,1603572801
17,Ferkessédougou,9.6,-5.2,78.3,49,1,1.72,CI,1603572801
18,Gimli,50.63,-96.99,30.0,98,85,5.01,CA,1603572511
19,Hermanus,-34.42,19.23,61.0,91,6,4.0,ZA,1603572802
20,Korla,41.76,86.15,46.0,63,22,1.01,CN,1603572802
21,Orangeburg,33.49,-80.86,84.2,54,1,3.36,US,1603572667
22,Soria,41.67,-2.67,46.99,86,93,1.99,ES,1603572802
23,George Town,5.41,100.34,77.0,94,40,3.36,MY,1603572802
24,Ţahţā,26.77,31.5,73.4,35,0,6.93,EG,1603572802
25,Millport,55.75,-4.93,48.0,80,33,5.99,GB,1603572803
26,Padang,-0.95,100.35,77.7,79,100,2.98,ID,1603572803
27,Hithadhoo,-0.6,73.08,83.28,75,27,11.25,MV,1603572803
28,Mataura,-46.19,168.86,71.01,58,93,17.0,NZ,1603572804
29,Zorritos,-3.68,-80.68,78.8,69,90,14.0,PE,1603572804
30,Codrington,-38.27,141.97,47.16,69,51,16.62,AU,1603572804
31,Rawson,-43.3,-65.1,64.69,50,57,17.02,AR,1603572804
32,San Ramon,37.78,-121.98,70.0,59,1,10.29,US,1603572654
33,Torbay,47.67,-52.73,48.99,81,90,23.04,CA,1603572804
34,Saint-Philippe,-21.36,55.77,71.6,64,0,5.82,RE,1603572805
35,Dikson,73.51,80.55,22.87,94,11,6.17,RU,1603572805
36,Melville,40.79,-73.42,69.01,77,90,4.7,US,1603572690
37,Isetskoye,56.49,65.32,36.97,96,100,9.51,RU,1603572805
38,Kibala,9.11,18.35,77.95,74,94,3.13,TD,1603572805
39,Butaritari,3.07,172.79,82.06,66,18,7.07,KI,1603572805
40,Verkhnevilyuysk,63.45,120.32,19.09,95,29,5.79,RU,1603572805
41,Tuktoyaktuk,69.45,-133.04,15.8,100,75,4.7,CA,1603572806
42,Jamestown,42.1,-79.24,44.01,75,90,8.05,US,1603572806
43,Akdepe,42.06,59.38,48.2,57,79,6.93,TM,1603572806
44,Yellowknife,62.46,-114.35,26.6,58,40,10.29,CA,1603572722
45,New Norfolk,-42.78,147.06,44.01,66,2,3.0,AU,1603572806
46,Faanui,-16.48,-151.75,79.14,74,45,7.54,PF,1603572806
47,Kavieng,-2.57,150.8,83.12,69,90,2.91,PG,1603572806
48,Busselton,-33.65,115.33,57.0,50,71,10.0,AU,1603572807
49,Cape Town,-33.93,18.42,62.01,93,20,5.82,ZA,1603572807
50,Flinders,-34.58,150.86,57.0,81,95,7.0,AU,1603572807
51,Bereda,43.27,-7.54,59.0,100,97,14.0,ES,1603572807
52,Kununurra,-15.77,128.73,80.6,88,65,3.36,AU,1603572668
53,Atuona,-9.8,-139.03,78.73,74,1,22.75,PF,1603572808
54,Westport,41.14,-73.36,64.4,72,90,9.17,US,1603572598
55,Saint Anthony,45.02,-93.22,32.0,54,75,6.93,US,1603572649
